Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity
1,1,"(-16.0, 60.0, 18.0)",0.0,0.05,0.095,0.171,Left,0.589,0.487,0.957,1.0,0.441,0.043
1,2,"(2.0, -18.0, 68.0)",0.0,0.024,-0.241,0.28,Right,0.517,0.4,0.973,1.0,0.372,0.047
1,3,"(-8.0, -96.0, -22.0)",0.0,0.032,0.218,0.206,Left,0.55,0.414,0.973,1.0,0.386,0.053
1,4,"(-40.0, -56.0, 56.0)",0.0,0.024,0.546,0.699,Left,0.474,0.352,0.983,1.0,0.335,0.059
1,5,"(-2.0, -88.0, 8.0)",0.0,0.024,-0.19,0.009,Left,0.622,0.443,0.974,1.0,0.416,0.052
1,6,"(-34.0, -20.0, 64.0)",0.0,0.024,0.075,0.108,Right,0.349,0.311,0.971,1.0,0.282,0.053
1,7,"(-44.0, -74.0, 36.0)",0.0,0.025,0.21,0.695,Left,0.404,0.275,0.978,1.0,0.253,0.057
1,8,"(56.0, -64.0, 16.0)",0.0,0.016,-0.649,0.827,Right,0.346,0.242,0.98,1.0,0.221,0.063
1,9,"(8.0, 30.0, 54.0)",0.0,0.023,-0.243,0.039,Right,0.435,0.34,0.977,1.0,0.316,0.045
1,10,"(54.0, -44.0, 56.0)",0.0,0.024,-0.583,0.85,Right,0.314,0.244,0.962,1.0,0.204,0.072
1,11,"(34.0, -84.0, 18.0)",0.0,0.016,0.111,0.007,Right,0.381,0.24,0.975,1.0,0.214,0.076
1,12,"(-56.0, -50.0, -22.0)",0.0,0.015,0.938,0.81,Left,0.603,0.538,0.974,1.0,0.511,0.023
1,13,"(8.0, 26.0, 58.0)",0.0,0.023,-0.215,0.394,Right,0.63,0.588,0.996,1.0,0.584,0.047
1,14,"(24.0, -84.0, 42.0)",0.0,0.024,0.03,0.105,Left,0.395,0.349,0.969,1.0,0.317,0.056
1,15,"(62.0, -8.0, 34.0)",0.0,0.011,-0.138,0.829,Right,0.481,0.388,0.976,1.0,0.363,0.061
1,16,"(60.0, 22.0, 12.0)",0.0,0.036,-1.482,0.994,Right,0.482,0.387,0.969,1,0.355,0.043
1,17,"(-34.0, -94.0, -6.0)",0.0,0.035,-0.102,0.027,Left,0.464,0.299,0.964,1.0,0.262,0.074
1,18,"(18.0, 8.0, -26.0)",0.0,0.024,-0.636,0.678,Right,0.489,0.473,0.99,1.0,0.463,0.033
1,19,"(-38.0, -30.0, -30.0)",0.0,0.015,0.643,0.92,Left,0.57,0.471,0.978,1.0,0.448,0.033
1,20,"(50.0, -62.0, -44.0)",0.0,0.032,-0.889,0.977,Right,0.481,0.513,0.967,1.0,0.479,0.029
1,21,"(-62.0, 12.0, 10.0)",0.0,0.032,0.833,0.845,Left,0.476,0.384,0.974,1.0,0.357,0.033
1,22,"(10.0, -38.0, -68.0)",0.0,0.094,-0.159,0.1,Right,0.566,0.526,0.982,1.0,0.507,0.029
1,23,"(52.0, 22.0, -22.0)",0.0,0.025,-0.386,0.585,Right,0.275,0.271,0.981,1.0,0.252,0.059
1,24,"(10.0, -106.0, -18.0)",0.0,0.015,-0.718,0.462,Right,0.764,0.702,0.978,1.0,0.679,0.021
1,25,"(56.0, 16.0, 28.0)",0.0,0.028,-0.648,0.859,Right,0.28,0.229,0.968,1.0,0.196,0.066
1,26,"(-30.0, 34.0, -30.0)",0.0,0.024,-0.833,0.54,Right,0.792,0.675,0.996,1.0,0.671,0.034
1,27,"(-34.0, -42.0, -38.0)",0.0,0.011,8.149,0.287,Left,0.791,0.687,0.984,1.0,0.671,0.03
1,28,"(-44.0, 6.0, -18.0)",0.0,0.024,-0.26,0.638,Right,0.552,0.49,0.988,1.0,0.478,0.036
1,29,"(30.0, 48.0, -24.0)",0.0,0.015,0.781,0.096,Right,0.505,0.367,0.981,1.0,0.348,0.037
1,30,"(-16.0, -16.0, -46.0)",0.0,0.093,-0.004,0.299,Right,0.518,0.494,0.977,1.0,0.471,0.04
