Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity,Central Energy,tICs Max Non-Gaussianity
9,1,"(18.0, -88.0, -12.0)",0.522,0.015,-0.416,0.709,Right,,0.36,0.977,1.0,0.336,0.046,12112410907.442686,315.0031315548803
9,2,"(-46.0, 30.0, 26.0)",0.141,0.011,1.084,0.717,Left,0.554,0.381,0.971,1.0,0.351,0.04,50643783095.67482,315.0031311968727
9,3,"(-12.0, 42.0, 52.0)",0.29,0.027,0.402,0.355,Left,0.503,0.418,0.963,1.0,0.38,0.045,23743208307.011707,315.00313055500106
9,4,"(56.0, -62.0, 28.0)",0.146,0.025,0.046,0.203,Right,0.519,0.392,0.982,1.0,0.374,0.053,36961960155.83297,315.0031339825009
9,5,"(46.0, 30.0, 38.0)",0.216,0.01,-0.78,0.639,Right,0.529,0.424,0.96,1.0,0.383,0.047,21516734314.46014,315.0031326739651
9,6,"(-58.0, -30.0, 52.0)",0.348,0.011,-0.049,0.136,Right,0.455,0.342,0.98,1.0,0.321,0.048,47917589847.782135,315.0031326129881
9,7,"(2.0, -78.0, 16.0)",0.067,0.042,-0.136,0.515,Right,0.501,0.408,0.971,1.0,0.378,0.036,31607106713.455044,315.00313261094675
9,8,"(-2.0, -100.0, 0.0)",0.058,0.019,0.345,0.161,Left,0.569,0.465,0.969,1.0,0.433,0.039,29353707915.88745,315.0031323272885
9,9,"(64.0, 6.0, 4.0)",0.198,0.026,-0.074,0.317,Right,0.437,0.338,0.978,1.0,0.315,0.04,17958658965.284653,315.00313319899686
9,10,"(-4.0, -58.0, 64.0)",0.138,0.015,0.146,0.043,Right,0.392,0.27,0.977,1.0,0.247,0.059,45278492798.32756,315.00313291840314
9,11,"(62.0, 30.0, 2.0)",0.655,0.012,-2.116,0.924,Right,0.449,0.333,0.974,1.0,0.306,0.042,6807138350.193275,315.0031327520466
9,12,"(58.0, -42.0, 52.0)",0.172,0.011,-0.096,0.262,Right,0.376,0.275,0.978,1.0,0.252,0.103,39039585736.8486,315.00313087616155
9,13,"(-14.0, -72.0, 60.0)",0.146,0.015,-0.122,0.285,Right,0.35,0.272,0.967,1.0,0.237,0.071,47638907919.872246,315.0031325264765
9,14,"(18.0, 68.0, -20.0)",0.739,0.019,-0.492,0.746,Right,0.423,0.297,0.971,1.0,0.267,0.044,5665951839.486429,315.0031298013283
9,15,"(-22.0, -44.0, 82.0)",0.995,0.024,0.817,0.604,Left,0.08,0.131,0.972,1.0,0.118,0.089,12609534.581409477,315.0031264339313
9,16,"(-62.0, 22.0, 12.0)",0.918,0.011,-0.217,0.195,Left,,,0.972,1.0,,,5514371331.260995,315.00312806486977
9,17,"(4.0, -12.0, 76.0)",0.727,0.015,-0.126,0.219,Right,0.476,0.557,0.973,1.0,0.529,0.035,16327524053.500463,315.0031049986685
9,18,"(14.0, -96.0, -22.0)",1.05,0.015,-0.512,0.766,Right,,0.371,0.967,1.0,0.336,0.063,8541745168.884928,315.0031322783682
9,19,"(30.0, -66.0, -66.0)",0.952,0.01,-0.166,0.001,Right,0.458,0.332,0.983,1.0,0.316,0.04,9473828498.135963,315.00313130991486
9,20,"(-54.0, 4.0, 42.0)",0.122,0.011,0.771,0.62,Left,0.422,0.39,0.98,1.0,0.37,0.041,80926371186.4795,315.0031316717664
9,21,"(40.0, 58.0, 10.0)",0.156,0.01,-0.078,0.465,Right,0.517,0.391,0.985,1.0,0.376,0.051,29053809847.297,315.00312688553066
9,22,"(54.0, 16.0, -8.0)",0.32,0.011,-0.125,0.326,Right,0.393,0.286,0.982,1.0,0.267,0.061,36537894718.52194,315.0031328832141
9,23,"(4.0, -92.0, -24.0)",0.276,0.011,0.094,0.016,Right,0.311,0.155,0.972,1.0,0.126,0.065,13432455941.40124,315.0031325832899
9,24,"(60.0, 16.0, 28.0)",0.123,0.01,-0.49,0.664,Right,0.24,0.195,0.978,1.0,0.172,0.055,47161185059.77183,315.00313315548567
9,25,"(-14.0, -34.0, -60.0)",0.783,0.089,0.269,0.196,Right,0.526,0.351,0.983,1.0,0.334,0.03,5259104970.866714,315.0031089637002
9,26,"(-8.0, 44.0, -30.0)",0.909,0.011,0.863,0.001,Left,0.359,0.339,0.98,1.0,0.318,0.041,9091193181.792065,315.0031321412057
9,27,"(18.0, -18.0, -44.0)",0.499,0.097,-0.405,0.542,Right,,0.288,0.971,1.0,0.258,0.039,3710945638.7650094,315.00312304520605
9,28,"(52.0, -56.0, -24.0)",0.332,0.017,-0.672,0.725,Right,0.653,0.573,0.986,1.0,0.558,0.041,13649664421.469452,315.0031255098296
9,29,"(2.0, -70.0, -68.0)",0.453,0.09,0.85,0.015,Right,0.526,0.377,0.986,1.0,0.363,0.055,8409908360.986893,315.00309626366186
9,30,"(-4.0, -40.0, -34.0)",0.08,0.011,0.348,0.381,Left,0.433,0.346,0.984,1.0,0.33,0.034,23360497994.93194,315.0031319878827
